FIN_MOIS,REEL_NPROD,CA_SERVICES,COEF_NF
2023-10-31,46671744.412847,19064222.6326334,-0.03283994312
2023-09-30,43567002.7758507,17687692.8769718,-0.003144966333
2023-08-31,37244910.4973563,14288298.9713083,-0.03661949455
2023-07-31,46026558.3943721,17641655.9753349,-0.0540569905
2023-06-30,48441053.6698342,19313257.2910159,0.003515350077
2023-05-31,42583394.0960978,15924927.4936713,-0.02797134442
2023-04-30,40704527.4880492,16231543.1814888,-0.01710741746
2023-03-31,44946638.2543976,19226230.7651993,-0.01711377071
2023-02-28,39039569.607709,15461848.2627204,0.0210820449
2023-01-31,37979001.4349822,14668531.0790556,-0.0230741536
